timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
2436239894425600,938.284,357.265,3.22707,139.483,-2.12161,-692.316,2.35906,5.44975,0.0409756,0.0949727,0.0949727,72.5003,72.5003,1,912.547,249.674,3.21463,205.399,-4.23288,-693.778,-3.43855,4.0337,-0.0598295,0.0703431,0.0703431,72.5003,72.5003,1,925.28,300.43,1,0
2436239899288200,936.545,357.265,3.23918,139.499,-2.10605,-692.229,2.33214,5.44975,0.0405083,0.0949727,0.0949727,72.4984,72.4984,1,912.626,249.561,3.16599,205.419,-4.27115,-693.821,-3.43855,4.0337,-0.0598295,0.0703431,0.0703431,72.4984,72.4984,1,924.446,300.363,1,0
2436239904206000,927.497,349.831,3.21232,139.523,-2.05801,-692.102,2.19792,5.343,0.038185,0.0931178,0.0931178,72.4974,72.4974,1,912.657,248.912,3.28614,205.412,-4.31363,-693.927,-3.43855,4.02585,-0.0598301,0.0702065,0.0702065,72.4974,72.4974,1,919.896,295.829,1,0
2436239909022000,927.497,349.831,3.21232,139.523,-2.05801,-692.102,2.19792,5.343,0.038185,0.0931178,0.0931178,72.4974,72.4974,1,912.657,248.912,3.28614,205.412,-4.31363,-693.927,-3.43855,4.02585,-0.0598301,0.0702065,0.0702065,72.4974,72.4974,1,919.896,295.829,1,0
2436239914005000,927.501,349.964,3.18405,139.513,-2.17047,-692.406,2.19792,5.343,0.038185,0.0931178,0.0931178,72.5152,72.5152,1,918.999,248.74,3.26759,205.429,-4.3273,-693.967,-3.34602,4.02585,-0.0582219,0.0702065,0.0702065,72.5152,72.5152,1,923.084,295.825,1,0
2436239918754900,927.586,349.913,3.19613,139.521,-2.17944,-692.465,2.19792,5.343,0.038185,0.0931178,0.0931178,72.5176,72.5176,1,919.122,244.646,3.22424,205.453,-4.33368,-693.957,-3.34602,3.96635,-0.0582261,0.0691706,0.0691706,72.5176,72.5176,1,923.178,293.511,1,0
2436239923676600,923.354,341.158,3.15311,139.539,-2.17566,-692.418,2.13518,5.21621,0.0371031,0.0909142,0.0909142,72.5054,72.5054,1,923.541,233.407,3.20595,205.445,-4.25815,-693.765,-3.2817,3.80175,-0.0571191,0.0663045,0.0663045,72.5054,72.5054,1,923.22,282.331,1,0
2436239928584600,923.354,341.158,3.15311,139.539,-2.17566,-692.418,2.13518,5.21621,0.0371031,0.0909142,0.0909142,72.5054,72.5054,1,923.541,233.407,3.20595,205.445,-4.25815,-693.765,-3.2817,3.80175,-0.0571191,0.0663045,0.0663045,72.5054,72.5054,1,923.22,282.331,1,0
2436239933339600,923.384,341.125,3.17677,139.567,-2.06595,-692.163,2.13518,5.21621,0.0371031,0.0909142,0.0909142,72.5032,72.5032,1,923.595,233.229,3.27675,205.476,-4.33145,-693.982,-3.2817,3.80175,-0.0571191,0.0663045,0.0663045,72.5032,72.5032,1,923.261,282.214,1,0
2436239938378000,923.519,341.216,3.1426,139.569,-2.16895,-692.42,2.13518,5.21621,0.0371031,0.0909142,0.0909142,72.5129,72.5129,1,924.058,233.347,3.24878,205.5,-4.31775,-693.908,-3.2771,3.80175,-0.0570391,0.0663045,0.0663045,72.5129,72.5129,1,923.562,282.332,1,0
2436239943069300,923.617,341.133,3.17986,139.585,-2.20016,-692.506,2.13518,5.21621,0.0371031,0.0909142,0.0909142,72.5133,72.5133,1,924.189,233.281,3.21931,205.509,-4.28516,-693.831,-3.2771,3.80175,-0.0570391,0.0663045,0.0663045,72.5133,72.5133,1,923.677,282.249,1,0
2436239947961600,923.617,341.133,3.17986,139.585,-2.20016,-692.506,2.13518,5.21621,0.0371031,0.0909142,0.0909142,72.5133,72.5133,1,924.189,233.281,3.21931,205.509,-4.28516,-693.831,-3.2771,3.80175,-0.0570391,0.0663045,0.0663045,72.5133,72.5133,1,923.677,282.249,1,0
2436239952899200,925.824,312.503,3.14977,139.596,-2.19528,-692.494,2.16721,4.79868,0.0376833,0.0836549,0.0836549,72.5113,72.5113,1,924.235,240.479,3.19862,205.511,-4.27203,-693.804,-3.2771,3.90898,-0.057032,0.0681717,0.0681717,72.5113,72.5113,1,924.757,270.239,1,0
2436239957681900,925.995,312.396,3.17311,139.602,-2.21664,-692.566,2.16721,4.79868,0.0376833,0.0836549,0.0836549,72.5229,72.5229,1,924.455,240.411,3.3047,205.536,-4.33389,-693.958,-3.2771,3.90898,-0.057032,0.0681717,0.0681717,72.5229,72.5229,1,924.954,270.141,1,0
2436239962558200,926.07,312.567,3.20437,139.631,-2.16803,-692.46,2.16721,4.79868,0.0376833,0.0836549,0.0836549,72.5146,72.5146,1,924.578,240.601,3.16747,205.574,-4.28989,-693.911,-3.2771,3.90898,-0.057032,0.0681717,0.0681717,72.5146,72.5146,1,925.055,270.345,1,0
2436239967484100,926.07,312.567,3.20437,139.631,-2.16803,-692.46,2.16721,4.79868,0.0376833,0.0836549,0.0836549,72.5146,72.5146,1,924.578,240.601,3.16747,205.574,-4.28989,-693.911,-3.2771,3.90898,-0.057032,0.0681717,0.0681717,72.5146,72.5146,1,925.055,270.345,1,0
2436239972359400,926.151,312.389,3.20142,139.622,-2.29163,-692.748,2.16721,4.79868,0.0376833,0.0836549,0.0836549,72.5287,72.5287,1,923.917,267.332,3.22468,205.568,-4.28555,-693.89,-3.28738,4.30242,-0.0571826,0.0750208,0.0750208,72.5287,72.5287,1,924.829,285.225,1,202
2436239977320000,926.217,312.414,3.16357,139.642,-2.24704,-692.616,2.16721,4.79868,0.0376833,0.0836549,0.0836549,72.5079,72.5079,1,918.638,267.53,3.30043,205.575,-4.1868,-693.619,-3.36674,4.30242,-0.0585614,0.0750208,0.0750208,72.5079,72.5079,1,922.207,285.336,1,0
2436239982122400,923.441,312.398,3.1659,139.666,-2.18393,-692.446,2.12552,4.79868,0.0369587,0.0836549,0.0836549,72.5114,72.5114,1,917.861,267.392,3.06651,205.614,-4.27991,-693.857,-3.37868,4.30242,-0.0587688,0.0750208,0.0750208,72.5114,72.5114,1,920.419,285.24,1,0
2436239987067800,923.441,312.398,3.1659,139.666,-2.18393,-692.446,2.12552,4.79868,0.0369587,0.0836549,0.0836549,72.5114,72.5114,1,917.861,267.392,3.06651,205.614,-4.27991,-693.857,-3.37868,4.30242,-0.0587688,0.0750208,0.0750208,72.5114,72.5114,1,920.419,285.24,1,0
2436239991906300,923.415,312.286,3.19405,139.654,-2.19098,-692.442,2.12552,4.79868,0.0369587,0.0836549,0.0836549,72.5183,72.5183,1,917.939,272.915,3.27132,205.605,-4.33246,-693.991,-3.37868,4.38245,-0.0587626,0.0764136,0.0764136,72.5183,72.5183,1,920.461,288.268,1,0
2436239996640200,923.479,312.182,3.16456,139.653,-2.24854,-692.545,2.12552,4.79868,0.0369587,0.0836549,0.0836549,72.5302,72.5302,1,918.015,273.019,3.13134,205.626,-4.3735,-694.115,-3.37868,4.38245,-0.0587626,0.0764136,0.0764136,72.5302,72.5302,1,920.531,288.268,1,0
2436240001430900,923.479,312.182,3.16456,139.653,-2.24854,-692.545,2.12552,4.79868,0.0369587,0.0836549,0.0836549,72.5302,72.5302,1,918.015,273.019,3.13134,205.626,-4.3735,-694.115,-3.37868,4.38245,-0.0587626,0.0764136,0.0764136,72.5302,72.5302,1,920.531,288.268,1,0
2436240006388600,923.54,312.051,3.14621,139.672,-2.23083,-692.48,2.12552,4.79868,0.0369587,0.0836549,0.0836549,72.5258,72.5258,1,918.027,273.008,3.30652,205.631,-4.38342,-694.088,-3.37868,4.38245,-0.0587626,0.0764136,0.0764136,72.5258,72.5258,1,920.567,288.189,1,0
