timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
166897173089800,1187.53,525.777,3.46711,134.146,72.3765,-498.767,8.95137,2.48285,0.15545,0.0433203,0.0433203,53.3512,53.3512,1,1128.9,809.454,3.72766,201.438,77.7362,-500.302,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3512,53.3512,1,1158.22,667.615,1,0
166897178048400,1187.53,525.777,3.46711,134.146,72.3765,-498.767,8.95137,2.48285,0.15545,0.0433203,0.0433203,53.3512,53.3512,1,1128.9,809.454,3.72766,201.438,77.7362,-500.302,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3512,53.3512,1,1158.22,667.615,1,0
166897183068300,1190.31,537.92,3.45833,134.143,72.3601,-498.803,9.0074,2.72708,0.156385,0.0475786,0.0475786,53.3524,53.3524,1,1128.9,809.426,3.75082,201.444,77.7421,-500.287,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3524,53.3524,1,1159.61,673.673,1,0
166897188099300,1190.31,537.92,3.45833,134.143,72.3601,-498.803,9.0074,2.72708,0.156385,0.0475786,0.0475786,53.3524,53.3524,1,1128.9,809.426,3.75082,201.444,77.7421,-500.287,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3524,53.3524,1,1159.61,673.673,1,0
166897193068300,1190.3,538.026,3.44158,134.137,72.3577,-498.817,9.0074,2.72708,0.156385,0.0475786,0.0475786,53.3575,53.3575,1,1128.87,809.5,3.78201,201.445,77.724,-500.375,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3575,53.3575,1,1159.58,673.763,1,0
166897198072700,1192.04,538.114,3.47694,134.147,72.3995,-498.749,9.04229,2.72708,0.156985,0.0475786,0.0475786,53.3508,53.3508,1,1128.86,809.526,3.73663,201.438,77.7558,-500.321,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3508,53.3508,1,1160.45,673.82,1,0
166897203067000,1192.04,538.114,3.47694,134.147,72.3995,-498.749,9.04229,2.72708,0.156985,0.0475786,0.0475786,53.3508,53.3508,1,1128.86,809.526,3.73663,201.438,77.7558,-500.321,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3508,53.3508,1,1160.45,673.82,1,0
166897208036800,1192.02,538.125,3.46985,134.13,72.3949,-498.809,9.04229,2.72708,0.156985,0.0475786,0.0475786,53.3563,53.3563,1,1128.82,809.606,3.79654,201.438,77.7472,-500.374,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3563,53.3563,1,1160.42,673.866,1,0
166897213047800,1194.58,535.536,3.47024,134.128,72.429,-498.744,9.09372,2.67454,0.157878,0.0466625,0.0466625,53.3542,53.3542,1,1128.76,809.721,3.80976,201.433,77.7557,-500.407,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3542,53.3542,1,1161.67,672.628,1,0
166897218055700,1194.58,535.536,3.47024,134.128,72.429,-498.744,9.09372,2.67454,0.157878,0.0466625,0.0466625,53.3542,53.3542,1,1128.76,809.721,3.80976,201.433,77.7557,-500.407,0.141089,7.62018,0.00244072,0.132605,0.132605,53.3542,53.3542,1,1161.67,672.628,1,0
166897223035200,1194.56,535.521,3.4544,134.128,72.4534,-498.689,9.09372,2.67454,0.157878,0.0466625,0.0466625,53.3494,53.3494,1,1129.96,806.154,3.80392,201.422,77.7732,-500.37,0.165588,7.54772,0.00286501,0.131352,0.131352,53.3494,53.3494,1,1162.26,670.837,1,0
166897228003900,1194.51,535.644,3.49029,134.118,72.4547,-498.72,9.09372,2.67454,0.157878,0.0466625,0.0466625,53.3523,53.3523,1,1129.84,806.244,3.77716,201.415,77.7702,-500.401,0.165588,7.54772,0.00286501,0.131352,0.131352,53.3523,53.3523,1,1162.17,670.944,1,0
166897233020500,1194.51,535.644,3.49029,134.118,72.4547,-498.72,9.09372,2.67454,0.157878,0.0466625,0.0466625,53.3523,53.3523,1,1129.84,806.244,3.77716,201.415,77.7702,-500.401,0.165588,7.54772,0.00286501,0.131352,0.131352,53.3523,53.3523,1,1162.17,670.944,1,0
166897238020000,1194.48,535.688,3.48269,134.098,72.4512,-498.779,9.09372,2.67454,0.157878,0.0466625,0.0466625,53.3563,53.3563,1,1135.05,798.64,3.69213,201.4,77.7591,-500.424,0.272605,7.3947,0.00471827,0.128704,0.128704,53.3563,53.3563,1,1164.76,667.164,1,0
166897242999900,1192.38,548.271,3.5115,134.087,72.4364,-498.817,9.05473,2.92719,0.157172,0.0510669,0.0510669,53.3591,53.3591,1,1134.98,795.11,3.69459,201.38,77.7444,-500.437,0.272605,7.32654,0.00471899,0.127524,0.127524,53.3591,53.3591,1,1163.68,671.691,1,0
166897247978900,1192.38,548.271,3.5115,134.087,72.4364,-498.817,9.05473,2.92719,0.157172,0.0510669,0.0510669,53.3591,53.3591,1,1134.98,795.11,3.69459,201.38,77.7444,-500.437,0.272605,7.32654,0.00471899,0.127524,0.127524,53.3591,53.3591,1,1163.68,671.691,1,0
166897253014000,1192.33,548.129,3.47283,134.08,72.4556,-498.764,9.05473,2.92719,0.157172,0.0510669,0.0510669,53.3602,53.3602,1,1134.93,795.123,3.7069,201.368,77.7078,-500.508,0.272605,7.32654,0.00471899,0.127524,0.127524,53.3602,53.3602,1,1163.63,671.626,1,0
166897258000500,1192.24,547.975,3.4809,134.066,72.4408,-498.756,9.05473,2.92719,0.157172,0.0510669,0.0510669,53.3552,53.3552,1,1139.15,782.535,3.71775,201.363,77.7271,-500.412,0.359916,7.07658,0.00623382,0.123196,0.123196,53.3552,53.3552,1,1165.7,665.255,1,0
166897263005300,1192.24,547.975,3.4809,134.066,72.4408,-498.756,9.05473,2.92719,0.157172,0.0510669,0.0510669,53.3552,53.3552,1,1139.15,782.535,3.71775,201.363,77.7271,-500.412,0.359916,7.07658,0.00623382,0.123196,0.123196,53.3552,53.3552,1,1165.7,665.255,1,0
166897268014000,1192.21,548.012,3.49723,134.051,72.4315,-498.768,9.05473,2.92719,0.157172,0.0510669,0.0510669,53.356,53.356,1,1139.13,776.103,3.67079,201.342,77.7089,-500.409,0.359916,6.95,0.00623551,0.121003,0.121003,53.356,53.356,1,1165.67,662.057,1,0
166897273017700,1192.63,547.87,3.48286,134.05,72.4189,-498.739,9.063,2.92719,0.157315,0.0510669,0.0510669,53.3531,53.3531,1,1139.08,775.948,3.65483,201.336,77.6946,-500.368,0.359916,6.95,0.00623551,0.121003,0.121003,53.3531,53.3531,1,1165.85,661.909,1,0
166897277981800,1192.63,547.87,3.48286,134.05,72.4189,-498.739,9.063,2.92719,0.157315,0.0510669,0.0510669,53.3531,53.3531,1,1139.08,775.948,3.65483,201.336,77.6946,-500.368,0.359916,6.95,0.00623551,0.121003,0.121003,53.3531,53.3531,1,1165.85,661.909,1,0
166897282990600,1192.6,560.265,3.47319,134.047,72.4179,-498.681,9.063,3.17757,0.157278,0.0554306,0.0554306,53.3517,53.3517,1,1139.1,775.883,3.68206,201.348,77.6735,-500.39,0.359916,6.95,0.00623551,0.121003,0.121003,53.3517,53.3517,1,1165.85,668.074,1,0
166897287955100,1192.6,560.265,3.47319,134.047,72.4179,-498.681,9.063,3.17757,0.157278,0.0554306,0.0554306,53.3517,53.3517,1,1139.1,775.883,3.68206,201.348,77.6735,-500.39,0.359916,6.95,0.00623551,0.121003,0.121003,53.3517,53.3517,1,1165.85,668.074,1,0
