Frame Number,System Time (ns),real time
117,1743053722080648800,2025-03-27 13:35:22.080648800
118,1743053722092514700,2025-03-27 13:35:22.092514700
119,1743053722102788800,2025-03-27 13:35:22.102788800
120,1743053722114383700,2025-03-27 13:35:22.114383700
121,1743053722126003000,2025-03-27 13:35:22.126003000
122,1743053722137635200,2025-03-27 13:35:22.137635200
123,1743053722149644600,2025-03-27 13:35:22.149644600
124,1743053722160122200,2025-03-27 13:35:22.160122200
125,1743053722172832500,2025-03-27 13:35:22.172832500
126,1743053722182572200,2025-03-27 13:35:22.182572200
127,1743053722193594500,2025-03-27 13:35:22.193594500
128,1743053722208454000,2025-03-27 13:35:22.208454000
129,1743053722220364500,2025-03-27 13:35:22.220364500
130,1743053722233366200,2025-03-27 13:35:22.233366200
131,1743053722243879700,2025-03-27 13:35:22.243879700
132,1743053722254226300,2025-03-27 13:35:22.254226300
133,1743053722265682000,2025-03-27 13:35:22.265682000
134,1743053722280846200,2025-03-27 13:35:22.280846200
135,1743053722290874100,2025-03-27 13:35:22.290874100
136,1743053722303658200,2025-03-27 13:35:22.303658200
137,1743053722314133300,2025-03-27 13:35:22.314133300
138,1743053722324656800,2025-03-27 13:35:22.324656800
139,1743053722335648300,2025-03-27 13:35:22.335648300
140,1743053722343201400,2025-03-27 13:35:22.343201400
141,1743053722353801000,2025-03-27 13:35:22.353801000
142,1743053722366177100,2025-03-27 13:35:22.366177100
143,1743053722377275900,2025-03-27 13:35:22.377275900
144,1743053722388586000,2025-03-27 13:35:22.388586000
145,1743053722400909600,2025-03-27 13:35:22.400909600
146,1743053722414872000,2025-03-27 13:35:22.414872000
147,1743053722428920700,2025-03-27 13:35:22.428920700
148,1743053722440414000,2025-03-27 13:35:22.440414000
149,1743053722451969300,2025-03-27 13:35:22.451969300
150,1743053722464075300,2025-03-27 13:35:22.464075300
151,1743053722477181800,2025-03-27 13:35:22.477181800
152,1743053722491390200,2025-03-27 13:35:22.491390200
153,1743053722502054400,2025-03-27 13:35:22.502054400
154,1743053722514076800,2025-03-27 13:35:22.514076800
155,1743053722528696000,2025-03-27 13:35:22.528696000
156,1743053722537082800,2025-03-27 13:35:22.537082800
157,1743053722546107100,2025-03-27 13:35:22.546107100
158,1743053722557308800,2025-03-27 13:35:22.557308800
159,1743053722571917700,2025-03-27 13:35:22.571917700
160,1743053722584421800,2025-03-27 13:35:22.584421800
161,1743053722598651700,2025-03-27 13:35:22.598651700
162,1743053722611379400,2025-03-27 13:35:22.611379400
163,1743053722623622500,2025-03-27 13:35:22.623622500
164,1743053722634445900,2025-03-27 13:35:22.634445900
165,1743053722645268500,2025-03-27 13:35:22.645268500
166,1743053722655389300,2025-03-27 13:35:22.655389300
167,1743053722668553700,2025-03-27 13:35:22.668553700
168,1743053722681641700,2025-03-27 13:35:22.681641700
169,1743053722691351100,2025-03-27 13:35:22.691351100
170,1743053722702174600,2025-03-27 13:35:22.702174600
171,1743053722715668400,2025-03-27 13:35:22.715668400
172,1743053722727383800,2025-03-27 13:35:22.727383800
173,1743053722739399900,2025-03-27 13:35:22.739399900
174,1743053722748624700,2025-03-27 13:35:22.748624700
175,1743053722763734300,2025-03-27 13:35:22.763734300
176,1743053722775435700,2025-03-27 13:35:22.775435700
177,1743053722788916100,2025-03-27 13:35:22.788916100
178,1743053722800112000,2025-03-27 13:35:22.800112000
179,1743053722814648700,2025-03-27 13:35:22.814648700
180,1743053722827710800,2025-03-27 13:35:22.827710800
181,1743053722841027000,2025-03-27 13:35:22.841027000
182,1743053722856137900,2025-03-27 13:35:22.856137900
183,1743053722868850700,2025-03-27 13:35:22.868850700
184,1743053722882406200,2025-03-27 13:35:22.882406200
185,1743053722895589900,2025-03-27 13:35:22.895589900
186,1743053722907528700,2025-03-27 13:35:22.907528700
187,1743053722920051800,2025-03-27 13:35:22.920051800
188,1743053722931938200,2025-03-27 13:35:22.931938200
189,1743053722944841600,2025-03-27 13:35:22.944841600
190,1743053722957647500,2025-03-27 13:35:22.957647500
191,1743053722969479500,2025-03-27 13:35:22.969479500
192,1743053753066602400,2025-03-27 13:35:53.066602400
